POS HUJAN ID,NAME,CURRENT LATITUDE,CURRENT LONGITUDE,CURRENT ELEVATION M,DATA TIMESTAMP,RECEIVED TIMESTAMP,RAINFALL DAY MM,RAINFALL TRACE
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-01 00:00:00.0 +0:00,2023-07-18 10:37:04.558134 Asia/Jakarta,11.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-02 00:00:00.0 +0:00,2023-07-18 10:36:51.848495 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-03 00:00:00.0 +0:00,2023-07-18 10:37:03.294014 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-04 00:00:00.0 +0:00,2023-07-18 10:37:00.769852 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-05 00:00:00.0 +0:00,2023-07-18 10:36:53.770665 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-06 00:00:00.0 +0:00,2023-07-18 10:36:59.470698 Asia/Jakarta,3.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-07 00:00:00.0 +0:00,2023-07-18 10:36:58.207761 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-08 00:00:00.0 +0:00,2023-07-18 10:37:00.141501 Asia/Jakarta,13.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-09 00:00:00.0 +0:00,2023-07-18 10:36:52.489283 Asia/Jakarta,45.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-10 00:00:00.0 +0:00,2023-07-18 10:37:02.31554 Asia/Jakarta,6.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-11 00:00:00.0 +0:00,2023-07-18 10:36:56.946094 Asia/Jakarta,4.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-12 00:00:00.0 +0:00,2023-07-18 10:36:55.677007 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-13 00:00:00.0 +0:00,2023-07-18 10:37:06.451322 Asia/Jakarta,0.0,N
13710202a,Muara Palam - Parak Karakah,-0.94,100.38,13,2015-01-14 00:00:00.0 +0:00,2023-07-18 10:36:54.412659 Asia/Jakarta,3.0,N
