TANGGAL,Bandar_Buat,Limau_Manih_UNAND,Lubuk_Minturun,Nanggalo,Parak_Karakah,Tambang_Semen_Padang,Teluk_Bayur,Water_Plan_Semen_Padang
2017-01-01,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-01-02,10.465067417986008,17.090088590021697,19.5,31.0,15.0,15.555669018138389,15.304096237771367,14.59272308373374
2017-01-03,21.188887161395296,57.53235419104857,38.5,31.0,22.0,47.805946636046144,15.181255823794828,52.394763249267704
2017-01-04,23.31920930611692,33.962977192782894,51.0,46.0,57.0,47.0011045935542,46.44362982381792,46.70783005758673
2017-01-05,73.84720788570874,60.89888590569329,78.0,96.0,83.5,64.85147591924044,84.48830493916128,44.65433431210062
2017-01-06,17.642218265726946,37.95745920067436,68.0,48.0,40.8,36.86380287200055,66.17923331938086,41.26305746245248
2017-01-07,30.57392310870534,32.446621071708485,21.5,26.0,29.0,21.942213406558455,10.144171673211497,29.394370217994652
2017-01-08,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-01-09,33.7,3.4,0.0,0.0,0.5,0.6,0.0,0.2
2017-01-10,4.2,2.6,0.0,0.0,1.0,0.8,2.8,0.64
2017-01-11,2.3557356129364315,12.739830893695633,4.0,3.0,1.7,10.520772768679226,8.92209953986404,16.524292998982894
2017-01-12,3.0757942494182444,16.213797295732295,1.0,3.0,3.5,5.201685364950127,14.34485857404462,9.313572767366157
2017-01-13,12.70285804945415,21.989342820006524,14.1,29.0,20.0,12.126451403748685,9.525486222876172,19.11354028305305
2017-01-14,34.96484820075362,0.0,73.5,0.0,0.0,0.0,0.0,0.0
2017-01-15,1.79887919215192,0.0,21.5,0.0,0.0,0.0,0.0,0.0
2017-01-16,23.41096843309036,21.507706692080813,0.0,51.0,34.4,42.33028809326287,17.402432136032967,50.15360670313925
2017-01-17,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-01-18,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-01-19,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-01-20,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-01-21,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-01-22,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-01-23,3.5116070400325743,16.843136212872285,41.0,9.5,7.5,16.032603354899948,10.002094643327366,17.28155264680546
2017-01-24,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-01-25,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-01-26,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-01-27,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-01-28,12.71271213686198,17.316817907614755,5.0,0.0,3.8,6.11427642660779,3.992650660646227,14.091356225856083
2017-01-29,11.880509725560344,37.79965652862738,35.0,73.0,27.5,49.19735847926688,15.710744156624811,49.91197141466704
2017-01-30,4.072974609330085,5.602733967502948,1.0,2.5,5.5,2.5185138132256144,7.646131845195168,9.756753912501951
2017-01-31,8.83186006712389,13.396654576018282,5.0,5.0,4.7,17.413614300528806,5.88703537182058,14.379846264335804
2017-02-01,35.57773321748875,57.30356420563014,62.0,133.0,69.7,35.13511337621135,28.49281189420288,38.14296524644855
2017-02-02,7.5528921304952386,18.695351108337356,4.0,0.0,3.8,8.452695851971994,4.313758852628523,10.064789100439265
2017-02-03,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-02-04,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-02-05,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-02-06,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-02-07,17.549735985154967,31.06793932955955,17.0,5.5,16.0,36.51198550741763,7.2503443221856285,19.884798674676773
2017-02-08,4.484449819069767,17.27151959301171,16.0,6.0,9.8,8.679199059470065,6.144463058923511,22.853653470287387
2017-02-09,102.71879364775138,49.35483860266311,70.5,24.0,20.0,48.58234205415838,10.547311074611644,36.4508840088507
2017-02-10,0.8978849748129563,4.358631719608669,1.0,4.0,5.0,4.466052671845702,7.837123518750232,5.0367145521918495
2017-02-11,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-02-12,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-02-13,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
2017-02-14,0.0,4.1,0.0,0.0,0.0,0.0,2.0,0.0
