TANGGAL,STASIUN,Bulan,Hari_Tahun,Hari_Minggu,Musim,Lag1,Lag2,Lag3,Roll7,Roll30,Trend,Consec_Rain,Max3,Tetangga_Lag1_avg,Tetangga_Roll7_avg,Tetangga_Max3_avg,Spasial_x_Roll7,_Curah_Hujan_Hari_Ini_REF_ONLY,Extreme_Event
2017-01-04,Lubuk_Minturun,1,4,2,Hujan_Intensif,38.5,19.5,0.0,19.333333333333332,19.333333333333332,19.0,2,38.5,26.5,16.5,26.5,512.3333333333333,51.0,0
2017-01-04,Nanggalo,1,4,2,Hujan_Intensif,31.0,31.0,0.0,20.666666666666668,20.666666666666668,0.0,2,31.0,30.25,15.833333333333332,30.25,625.1666666666667,46.0,0
2017-01-04,Parak_Karakah,1,4,2,Hujan_Intensif,22.0,15.0,0.0,12.333333333333334,12.333333333333334,7.0,2,22.0,34.75,20.0,34.75,428.58333333333337,57.0,1
2017-01-05,Lubuk_Minturun,1,5,3,Hujan_Intensif,51.0,38.5,19.5,27.25,27.25,12.5,3,51.0,51.5,25.25,51.5,1403.375,78.0,1
2017-01-05,Nanggalo,1,5,3,Hujan_Intensif,46.0,31.0,31.0,27.0,27.0,15.0,3,46.0,54.0,25.375,54.0,1458.0,96.0,1
2017-01-05,Parak_Karakah,1,5,3,Hujan_Intensif,57.0,22.0,15.0,23.5,23.5,35.0,3,57.0,48.5,27.125,48.5,1139.75,83.5,1
2017-01-06,Lubuk_Minturun,1,6,4,Hujan_Intensif,78.0,51.0,38.5,37.4,37.4,27.0,4,78.0,89.75,38.15,89.75,3356.65,68.0,1
2017-01-06,Nanggalo,1,6,4,Hujan_Intensif,96.0,46.0,31.0,40.8,40.8,50.0,4,96.0,80.75,36.45,80.75,3294.6,48.0,0
2017-01-06,Parak_Karakah,1,6,4,Hujan_Intensif,83.5,57.0,22.0,35.5,35.5,26.5,4,83.5,87.0,39.099999999999994,87.0,3088.5,40.8,0
2017-01-07,Lubuk_Minturun,1,7,5,Hujan_Intensif,68.0,78.0,51.0,42.5,42.5,-10.0,5,78.0,44.4,39.19166666666666,89.75,1887.0,21.5,0
2017-01-07,Nanggalo,1,7,5,Hujan_Intensif,48.0,96.0,46.0,42.0,42.0,-48.0,5,96.0,54.4,39.44166666666666,80.75,2284.7999999999997,26.0,0
2017-01-07,Parak_Karakah,1,7,5,Hujan_Intensif,40.8,83.5,57.0,36.38333333333333,36.38333333333333,-42.7,5,83.5,58.0,42.25,87.0,2110.233333333333,29.0,0
2017-01-08,Lubuk_Minturun,1,8,6,Hujan_Intensif,21.5,68.0,78.0,39.5,39.5,-46.5,6,78.0,27.5,37.52142857142857,89.75,1086.25,0.0,0
2017-01-08,Nanggalo,1,8,6,Hujan_Intensif,26.0,48.0,96.0,39.714285714285715,39.714285714285715,-22.0,6,96.0,25.25,37.41428571428571,80.75,1002.7857142857143,0.0,0
2017-01-08,Parak_Karakah,1,8,6,Hujan_Intensif,29.0,40.8,83.5,35.32857142857143,35.32857142857143,-11.799999999999997,6,83.5,23.75,39.60714285714286,87.0,839.0535714285714,0.0,0
2017-01-09,Lubuk_Minturun,1,9,0,Hujan_Intensif,0.0,21.5,68.0,39.5,34.5625,-21.5,0,68.0,0.0,37.52142857142857,44.4,0.0,0.0,0
2017-01-09,Nanggalo,1,9,0,Hujan_Intensif,0.0,26.0,48.0,39.714285714285715,34.75,-26.0,0,48.0,0.0,37.41428571428571,54.4,0.0,0.0,0
2017-01-09,Parak_Karakah,1,9,0,Hujan_Intensif,0.0,29.0,40.8,35.32857142857143,30.9125,-29.0,0,40.8,0.0,39.60714285714286,58.0,0.0,0.5,0
