POS HUJAN ID,NAME,CURRENT LATITUDE,CURRENT LONGITUDE,CURRENT ELEVATION M,DATA TIMESTAMP,RECEIVED TIMESTAMP,RAINFALL DAY MM,RAINFALL TRACE
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-01 00:00:00.0 +0:00,2023-07-18 10:33:14.647681 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-02 00:00:00.0 +0:00,2023-07-18 10:33:05.566726 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-03 00:00:00.0 +0:00,2023-07-18 10:33:07.216358 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-04 00:00:00.0 +0:00,2023-07-18 10:33:22.767209 Asia/Jakarta,1.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-05 00:00:00.0 +0:00,2023-07-18 10:33:08.733168 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-06 00:00:00.0 +0:00,2023-07-18 10:33:17.90352 Asia/Jakarta,4.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-07 00:00:00.0 +0:00,2023-07-18 10:33:26.89085 Asia/Jakarta,1.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-08 00:00:00.0 +0:00,2023-07-18 10:33:21.95548 Asia/Jakarta,52.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-09 00:00:00.0 +0:00,2023-07-18 10:33:12.104833 Asia/Jakarta,14.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-10 00:00:00.0 +0:00,2023-07-18 10:33:11.260803 Asia/Jakarta,7.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-11 00:00:00.0 +0:00,2023-07-18 10:33:29.375773 Asia/Jakarta,3.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-12 00:00:00.0 +0:00,2023-07-18 10:33:16.284968 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-13 00:00:00.0 +0:00,2023-07-18 10:33:24.398971 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-14 00:00:00.0 +0:00,2023-07-18 10:33:06.390421 Asia/Jakarta,10.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-15 00:00:00.0 +0:00,2023-07-18 10:33:10.406994 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-16 00:00:00.0 +0:00,2023-07-18 10:33:20.331926 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-17 00:00:00.0 +0:00,2023-07-18 10:33:08.54727 Asia/Jakarta,47.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-18 00:00:00.0 +0:00,2023-07-18 10:33:21.145054 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-19 00:00:00.0 +0:00,2023-07-18 10:33:23.579215 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-20 00:00:00.0 +0:00,2023-07-18 10:33:17.898127 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-21 00:00:00.0 +0:00,2023-07-18 10:33:25.228975 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-22 00:00:00.0 +0:00,2023-07-18 10:33:18.709257 Asia/Jakarta,24.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-23 00:00:00.0 +0:00,2023-07-18 10:33:15.479379 Asia/Jakarta,37.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-24 00:00:00.0 +0:00,2023-07-18 10:33:04.738336 Asia/Jakarta,30.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-25 00:00:00.0 +0:00,2023-07-18 10:33:13.798828 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-26 00:00:00.0 +0:00,2023-07-18 10:33:09.566071 Asia/Jakarta,24.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-27 00:00:00.0 +0:00,2023-07-18 10:33:12.951635 Asia/Jakarta,,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-28 00:00:00.0 +0:00,2023-07-18 10:33:26.60869 Asia/Jakarta,2.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-29 00:00:00.0 +0:00,2023-07-18 10:33:27.718497 Asia/Jakarta,1.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-30 00:00:00.0 +0:00,2023-07-18 10:33:28.548181 Asia/Jakarta,1.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-01-31 00:00:00.0 +0:00,2023-07-18 10:33:19.521794 Asia/Jakarta,0.0,N
13710101e,Teluk Bayur,-0.98,100.36,0,2015-02-01 00:00:00.0 +0:00,2023-07-20 14:56:20.973014 Asia/Jakarta,0.0,N
