HYBRID SARIMA + XGBOOST - PREDIKSI TAHUNAN 2026-2028
============================================================
Total hari prediksi: 3288
Rentang: 2026-01-01 00:00:00 s.d. 2028-12-31 00:00:00


REKAPITULASI PER BULAN (2026-2028):
  Bulan  Rata_Risiko Level_Dominan  Rata_Curah_Hujan
2026-01     0.100274          Aman         10.027446
2026-02     0.080651          Aman          8.065077
2026-03     0.118430          Aman         11.843036
2026-04     0.097894          Aman          9.789395
2026-05     0.120284          Aman         12.028373
2026-06     0.117188          Aman         11.718757
2026-07     0.095342          Aman          9.534233
2026-08     0.118013          Aman         11.801328
2026-09     0.129555          Aman         12.955465
2026-10     0.125381          Aman         12.538093
2026-11     0.124304          Aman         12.430407
2026-12     0.131414          Aman         13.141446
2027-01     0.118562          Aman         11.856215
2027-02     0.075894          Aman          7.589424
2027-03     0.131099          Aman         13.109892
2027-04     0.097775          Aman          9.777478
2027-05     0.109531          Aman         10.953083
2027-06     0.111514          Aman         11.151394
2027-07     0.088870          Aman          8.887035
2027-08     0.113935          Aman         11.393543
2027-09     0.119668          Aman         11.966810
2027-10     0.110212          Aman         11.021201
2027-11     0.197278          Aman         19.727816
2027-12     0.141818          Aman         14.181825
2028-01     0.113846          Aman         11.384569
2028-02     0.078036          Aman          7.803587
2028-03     0.131281          Aman         13.128143
2028-04     0.097938          Aman          9.793825
2028-05     0.104239          Aman         10.423914
2028-06     0.110649          Aman         11.064874
2028-07     0.084868          Aman          8.486839
2028-08     0.111174          Aman         11.117353
2028-09     0.127063          Aman         12.706339
2028-10     0.104586          Aman         10.458565
2028-11     0.178963          Aman         17.896266
2028-12     0.133508          Aman         13.350802
