POS HUJAN ID,NAME,CURRENT LATITUDE,CURRENT LONGITUDE,CURRENT ELEVATION M,DATA TIMESTAMP,RECEIVED TIMESTAMP,RAINFALL DAY MM,RAINFALL TRACE
13010103a,Air Pura,-1.99,100.95,21,2015-01-01 00:00:00.0 +0:00,2023-07-17 09:14:16.783312 Asia/Jakarta,13,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-02 00:00:00.0 +0:00,2023-07-17 09:14:12.636508 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-03 00:00:00.0 +0:00,2023-07-17 09:14:22.667143 Asia/Jakarta,1,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-04 00:00:00.0 +0:00,2023-07-17 09:14:20.934668 Asia/Jakarta,7,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-05 00:00:00.0 +0:00,2023-07-17 09:14:15.953072 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-06 00:00:00.0 +0:00,2023-07-17 09:14:01.2341 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-07 00:00:00.0 +0:00,2023-07-17 09:14:04.332347 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-08 00:00:00.0 +0:00,2023-07-17 09:14:18.439963 Asia/Jakarta,6,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-09 00:00:00.0 +0:00,2023-07-17 09:14:01.881843 Asia/Jakarta,24,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-10 00:00:00.0 +0:00,2023-07-17 09:14:00.176906 Asia/Jakarta,18,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-11 00:00:00.0 +0:00,2023-07-17 09:14:24.407246 Asia/Jakarta,5,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-12 00:00:00.0 +0:00,2023-07-17 09:14:03.515902 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-13 00:00:00.0 +0:00,2023-07-17 09:14:21.800595 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-14 00:00:00.0 +0:00,2023-07-17 09:14:15.124116 Asia/Jakarta,12,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-15 00:00:00.0 +0:00,2023-07-17 09:14:06.822017 Asia/Jakarta,3,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-16 00:00:00.0 +0:00,2023-07-17 09:14:10.146086 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-17 00:00:00.0 +0:00,2023-07-17 09:14:07.659658 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-18 00:00:00.0 +0:00,2023-07-17 09:14:23.538894 Asia/Jakarta,15,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-19 00:00:00.0 +0:00,2023-07-17 09:14:17.611041 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-20 00:00:00.0 +0:00,2023-07-17 09:14:19.268119 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-21 00:00:00.0 +0:00,2023-07-17 09:14:05.988199 Asia/Jakarta,3,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-22 00:00:00.0 +0:00,2023-07-17 09:14:13.46616 Asia/Jakarta,28,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-23 00:00:00.0 +0:00,2023-07-17 09:14:20.96856 Asia/Jakarta,41,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-24 00:00:00.0 +0:00,2023-07-17 09:14:05.156778 Asia/Jakarta,15,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-25 00:00:00.0 +0:00,2023-07-17 09:13:59.407035 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-26 00:00:00.0 +0:00,2023-07-17 09:14:09.315164 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-27 00:00:00.0 +0:00,2023-07-17 09:14:14.294728 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-28 00:00:00.0 +0:00,2023-07-17 09:14:02.699476 Asia/Jakarta,10,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-29 00:00:00.0 +0:00,2023-07-17 09:14:11.807623 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-30 00:00:00.0 +0:00,2023-07-17 09:14:08.485583 Asia/Jakarta,1,N
13010103a,Air Pura,-1.99,100.95,21,2015-01-31 00:00:00.0 +0:00,2023-07-17 09:14:10.976512 Asia/Jakarta,12,N
13010103a,Air Pura,-1.99,100.95,21,2015-02-01 00:00:00.0 +0:00,2023-07-20 10:00:01.523959 Asia/Jakarta,31,N
13010103a,Air Pura,-1.99,100.95,21,2015-02-02 00:00:00.0 +0:00,2023-07-20 10:00:11.45551 Asia/Jakarta,12,N
13010103a,Air Pura,-1.99,100.95,21,2015-02-03 00:00:00.0 +0:00,2023-07-20 10:00:04.910187 Asia/Jakarta,0,N
13010103a,Air Pura,-1.99,100.95,21,2015-02-04 00:00:00.0 +0:00,2023-07-20 10:00:08.351187 Asia/Jakarta,3,N
13010103a,Air Pura,-1.99,100.95,21,2015-02-05 00:00:00.0 +0:00,2023-07-20 10:00:05.789566 Asia/Jakarta,48,N
13010103a,Air Pura,-1.99,100.95,21,2015-02-06 00:00:00.0 +0:00,2023-07-20 10:00:03.194563 Asia/Jakarta,92,N
13010103a,Air Pura,-1.99,100.95,21,2015-02-07 00:00:00.0 +0:00,2023-07-20 10:00:14.515578 Asia/Jakarta,18,N
13010103a,Air Pura,-1.99,100.95,21,2015-02-08 00:00:00.0 +0:00,2023-07-20 10:00:13.659836 Asia/Jakarta,7,N
